epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.7955,1.14946,2.55371,1.60783,0.00376,1,0.48557,0.23088,1.20473,3.50694,1.96137,0.00016,0.00016,0.00016
2,184.412,1.02683,1.80569,1.49369,0.0035,0.93182,0.37438,0.13506,1.98094,3.73342,2.67215,0.000333268,0.000333268,0.000333268
3,270.481,1.02514,1.65236,1.48774,0.00781,0.90909,0.65401,0.28506,1.34209,3.22561,2.20532,0.000499408,0.000499408,0.000499408
4,365.255,0.96596,1.5147,1.4302,0.88466,0.34894,0.65206,0.28905,1.5055,3.05448,2.48507,0.00065842,0.00065842,0.00065842
5,456.409,0.98965,1.50818,1.45756,0.56541,0.20711,0.46074,0.17224,1.55582,3.21615,2.55699,0.000810304,0.000810304,0.000810304
6,542.156,1.12862,1.58762,1.56165,0.84488,0.49529,0.66732,0.25468,1.65016,2.94321,2.63201,0.00095506,0.00095506,0.00095506
7,627.593,1.03951,1.55339,1.50758,0.65624,0.39061,0.49319,0.2018,1.92479,2.71022,3.14878,0.00109269,0.00109269,0.00109269
8,714.637,1.12058,1.50605,1.50952,0.64682,0.65909,0.6518,0.28891,1.56759,2.49551,2.88787,0.00122319,0.00122319,0.00122319
9,799.182,1.13402,1.45125,1.55779,0.53586,0.68222,0.64081,0.20928,2.26842,4.33716,4.3472,0.00134656,0.00134656,0.00134656
10,882.251,1.17761,1.51982,1.60126,0.74328,0.61364,0.67943,0.27327,1.90038,2.82964,4.34151,0.0014628,0.0014628,0.0014628
11,966.418,1.16039,1.51733,1.59935,0.55046,0.72727,0.588,0.23132,1.90032,3.52162,4.72082,0.00157192,0.00157192,0.00157192
12,1052.12,1.1765,1.42844,1.57285,0.65943,0.68182,0.7318,0.33417,1.7965,2.85772,3.74377,0.0015644,0.0015644,0.0015644
13,1137.28,1.12183,1.35312,1.5394,0.47445,0.56818,0.45266,0.17726,2.07028,2.63867,3.81687,0.0015248,0.0015248,0.0015248
14,1222.27,1.05638,1.39022,1.4983,0.60184,0.56818,0.5097,0.15796,2.36935,2.72348,4.827,0.0014852,0.0014852,0.0014852
15,25612.3,1.03669,1.29306,1.4836,0.66775,0.54545,0.58137,0.24583,2.02126,2.74619,3.58723,0.0014456,0.0014456,0.0014456
16,25722.6,1.18134,1.33048,1.61727,0.61147,0.61364,0.54712,0.18352,2.27873,3.09693,4.47679,0.001406,0.001406,0.001406
